Age,Gender,Education,Years_of_Experience,Platforms_Worked,Weekly_Work_Hours,Monthly_Income,Active_Platforms,Top_Challenges,Order_Cancellation_Freq,Confidence_Road_Safety,Training_Interests,Preferred_Learning_Mode,Preferred_Training_Time,Training_Motivation,Mobile_App_Comfort,GPS_Usage_Freq,Follows_Tips_Online,Online_Community_Member,Interested_in_RiderBoost,Recommend_Score,Willingness_to_Pay,Expected_Benefit
26,Female,High School,2,Talabat,37,1627,1,Customer complaints,Rarely,3,Route optimization,Interactive app,Evenings,"Career growth, Better income",1,Always,Yes,Yes,No,5,11,Fewer complaints
26,Female,College,1,"Zomato, Uber Eats, DoorDash",56,2045,1,"Customer complaints, Navigation issues",Sometimes,3,"Customer service, Route optimization",Videos,Mornings,Skill-building,1,Rarely,No,Yes,Maybe,10,32,Better income
32,Male,High School,5,"Talabat, Zomato, Deliveroo",32,2143,3,"Low pay, Navigation issues",Often,1,Route optimization,Interactive app,Flexible,Career growth,2,Sometimes,No,Yes,Yes,6,15,Social recognition
15,Female,High School,6,DoorDash,41,1381,1,"Fatigue, Customer complaints",Often,5,"Safety practices, Communication skills",Videos,Weekends,"Certification, Skill-building",1,Always,Yes,Yes,Maybe,8,26,Faster delivery
16,Male,College,4,"Uber Eats, Other",45,1834,2,"Unsafe conditions, Fatigue, Customer complaints",Sometimes,4,Communication skills,Interactive app,Evenings,Career growth,2,Always,No,Yes,No,5,18,"Better income, Fewer complaints"
26,Female,College,1,"Uber Eats, Zomato",46,790,3,Fatigue,Sometimes,5,"Fitness and health, Safety practices, Customer service",Audio,Weekends,"Career growth, Certification, Skill-building",3,Always,Yes,Yes,No,10,5,"Faster delivery, Social recognition"
22,Male,High School,3,"Deliveroo, Zomato",43,2521,1,"Low pay, Customer complaints",Always,2,Safety practices,In-person,Flexible,"Better income, Certification",5,Sometimes,No,Yes,No,7,187,Fewer complaints
33,Female,College,3,Other,49,1544,1,"Unsafe conditions, Customer complaints",Sometimes,1,"Safety practices, Fitness and health, Communication skills",Interactive app,Evenings,"Peer competition, Certification",1,Often,No,Yes,Yes,6,14,Health & safety
23,Male,Graduate Degree,4,"Deliveroo, Uber Eats",52,1828,2,"Customer complaints, Navigation issues",Sometimes,3,"Route optimization, Fitness and health",Audio,Mornings,"Career growth, Skill-building, Peer competition",2,Sometimes,Yes,Yes,Yes,9,0,"Faster delivery, Social recognition"
19,Female,High School,4,"Uber Eats, Deliveroo",52,1645,3,"Unsafe conditions, Fatigue",Rarely,4,Safety practices,Reading materials,Evenings,"Certification, Career growth, Better income",1,Always,No,Yes,No,10,0,"Better income, Faster delivery"
42,Male,High School,2,"Other, Deliveroo",35,2373,3,"Navigation issues, Fatigue",Often,2,"Fitness and health, Route optimization, Communication skills, Customer service",Videos,Weekends,Better income,2,Often,Yes,No,Yes,6,19,"Better income, Health & safety"
28,Female,High School,3,"Deliveroo, DoorDash",42,600,1,"Navigation issues, Fatigue",Rarely,4,"Safety practices, Route optimization",Reading materials,Evenings,Career growth,3,Sometimes,Yes,No,No,6,36,Health & safety
31,Male,High School,4,"Uber Eats, Other, DoorDash",57,1792,2,"Navigation issues, Unsafe conditions",Rarely,5,"Communication skills, Safety practices, Route optimization, Customer service",Audio,Flexible,"Peer competition, Better income",4,Always,Yes,Yes,Yes,10,4,Health & safety
19,Male,High School,6,"Uber Eats, DoorDash",54,1747,2,"Customer complaints, Fatigue, Unsafe conditions",Sometimes,1,Communication skills,Reading materials,Flexible,"Career growth, Better income, Skill-building",1,Always,Yes,Yes,Yes,7,5,Health & safety
26,Male,Graduate Degree,4,Talabat,31,1573,3,"Navigation issues, Customer complaints",Rarely,5,"Communication skills, Route optimization, Customer service, Fitness and health",Reading materials,Evenings,"Certification, Better income",2,Often,No,No,Yes,7,19,"Health & safety, Faster delivery"
31,Male,College,5,"Talabat, Zomato",49,2663,1,"Low pay, Fatigue",Sometimes,3,Route optimization,Audio,Flexible,"Certification, Skill-building",3,Often,Yes,No,No,3,2,Health & safety
21,Female,College,3,Zomato,25,1356,2,"Unsafe conditions, Fatigue, Navigation issues",Rarely,1,Route optimization,In-person,Flexible,"Certification, Better income",2,Always,Yes,Yes,Yes,7,39,Better income
33,Male,High School,6,"DoorDash, Zomato",45,7075,3,"Low pay, Customer complaints, Navigation issues",Sometimes,5,"Safety practices, Route optimization, Communication skills",Interactive app,Flexible,"Career growth, Peer competition",2,Often,No,Yes,No,4,6,Social recognition
25,Non-binary,College,4,"Other, Uber Eats, DoorDash",64,1978,1,Customer complaints,Rarely,4,"Route optimization, Customer service",Videos,Mornings,"Peer competition, Career growth, Better income",3,Often,Yes,Yes,Yes,6,10,Faster delivery
28,Male,Graduate Degree,1,"Other, DoorDash, Deliveroo",36,2431,1,"Low pay, Customer complaints",Never,1,"Fitness and health, Communication skills, Customer service, Safety practices",Interactive app,Weekends,"Better income, Skill-building",1,Often,Yes,Yes,No,3,7,Better income
25,Male,College,6,"Talabat, Zomato",37,1466,1,"Customer complaints, Fatigue, Navigation issues",Rarely,1,"Customer service, Route optimization, Fitness and health, Communication skills",Videos,Flexible,"Career growth, Certification, Better income",4,Always,Yes,Yes,Yes,9,24,"Social recognition, Fewer complaints"
45,Female,No schooling,4,"Other, Deliveroo, DoorDash",53,1434,1,"Fatigue, Navigation issues",Always,3,"Safety practices, Customer service, Fitness and health, Route optimization",Interactive app,Evenings,"Better income, Career growth",3,Always,No,Yes,Yes,4,37,"Health & safety, Faster delivery"
30,Female,College,2,"Zomato, Uber Eats, DoorDash",30,2348,1,"Fatigue, Customer complaints, Unsafe conditions",Often,3,"Route optimization, Safety practices",Reading materials,Flexible,Peer competition,2,Often,Yes,No,No,3,8,Better income
22,Male,High School,2,Zomato,39,2013,3,Customer complaints,Rarely,4,"Route optimization, Fitness and health, Communication skills, Safety practices",In-person,Mornings,"Career growth, Peer competition, Better income",3,Often,Yes,Yes,Yes,5,24,"Health & safety, Fewer complaints"
37,Male,High School,4,"Zomato, Uber Eats",51,1028,1,"Customer complaints, Unsafe conditions, Navigation issues",Often,4,"Route optimization, Customer service, Communication skills, Fitness and health",Reading materials,Evenings,Certification,2,Always,Yes,Yes,Yes,9,2,Health & safety
20,Female,High School,4,Deliveroo,39,1530,1,"Customer complaints, Low pay, Fatigue",Sometimes,1,Safety practices,In-person,Weekends,Skill-building,5,Always,No,Yes,Maybe,6,25,Better income
32,Male,College,3,"Zomato, DoorDash, Talabat",43,1993,2,"Unsafe conditions, Low pay, Customer complaints",Always,2,"Communication skills, Customer service, Fitness and health",Audio,Evenings,Career growth,3,Always,Yes,Yes,Yes,6,33,"Health & safety, Social recognition"
14,Prefer not to say,College,4,"Other, Talabat",52,2219,1,Navigation issues,Sometimes,5,Safety practices,Videos,Evenings,"Better income, Career growth",4,Always,No,Yes,Yes,8,30,Fewer complaints
19,Non-binary,High School,6,Zomato,49,1460,1,Unsafe conditions,Sometimes,1,"Fitness and health, Safety practices",Videos,Evenings,Better income,2,Always,No,Yes,Yes,7,16,"Fewer complaints, Better income"
32,Female,High School,5,DoorDash,48,600,2,Unsafe conditions,Never,4,Fitness and health,Audio,Evenings,"Certification, Skill-building",2,Always,No,Yes,Yes,9,5,"Fewer complaints, Faster delivery"
36,Male,High School,3,"Deliveroo, Other, Zomato",42,2062,3,"Customer complaints, Navigation issues, Fatigue",Sometimes,1,"Route optimization, Safety practices, Fitness and health, Customer service",Interactive app,Flexible,"Career growth, Peer competition, Certification",3,Often,Yes,Yes,Yes,7,15,Health & safety
31,Female,High School,5,"Deliveroo, Talabat, Other",49,1190,2,Low pay,Always,3,"Route optimization, Communication skills",Audio,Weekends,"Certification, Better income",2,Often,Yes,No,Yes,7,12,"Better income, Fewer complaints"
29,Male,High School,1,"DoorDash, Other",44,791,2,Navigation issues,Sometimes,5,Customer service,Audio,Flexible,"Certification, Better income, Career growth",2,Sometimes,No,Yes,No,10,11,"Better income, Faster delivery"
28,Male,High School,4,"Talabat, Uber Eats, Deliveroo",50,600,1,Unsafe conditions,Rarely,1,"Safety practices, Customer service",In-person,Mornings,Skill-building,3,Always,Yes,Yes,Yes,7,17,Faster delivery
18,Male,College,7,DoorDash,40,2207,3,"Unsafe conditions, Fatigue, Customer complaints",Rarely,3,Customer service,Audio,Mornings,"Skill-building, Peer competition",3,Always,Yes,Yes,No,7,14,Faster delivery
24,Male,High School,3,"DoorDash, Talabat, Uber Eats",43,1864,1,"Customer complaints, Unsafe conditions",Often,5,"Safety practices, Customer service, Route optimization",Videos,Evenings,"Certification, Career growth, Peer competition",4,Always,Yes,Yes,Yes,7,22,Faster delivery
26,Female,High School,1,"Talabat, Deliveroo",35,1687,2,"Unsafe conditions, Fatigue, Customer complaints",Sometimes,5,Fitness and health,Reading materials,Flexible,Career growth,3,Often,No,Yes,Yes,2,22,"Better income, Social recognition"
38,Female,High School,2,"Deliveroo, Zomato",45,2495,1,Customer complaints,Sometimes,2,Fitness and health,In-person,Flexible,Better income,1,Sometimes,No,Yes,Yes,9,14,Fewer complaints
33,Female,Graduate Degree,1,"Uber Eats, Other, Zomato",37,2119,3,Navigation issues,Always,3,Safety practices,In-person,Weekends,Skill-building,4,Often,Yes,Yes,No,10,19,"Social recognition, Health & safety"
16,Male,College,1,"Zomato, Uber Eats, Other",34,2608,2,"Low pay, Unsafe conditions",Never,5,Communication skills,Interactive app,Weekends,Skill-building,3,Often,No,Yes,No,10,28,Health & safety
33,Male,College,2,"DoorDash, Talabat",48,1104,2,"Fatigue, Navigation issues, Unsafe conditions",Sometimes,2,"Customer service, Communication skills, Fitness and health, Route optimization",Reading materials,Weekends,"Skill-building, Better income",5,Always,Yes,No,Maybe,6,10,Faster delivery
27,Male,High School,0,Other,47,1783,1,"Customer complaints, Fatigue",Always,2,Route optimization,In-person,Flexible,"Career growth, Skill-building",3,Always,No,Yes,Yes,7,15,Faster delivery
25,Prefer not to say,College,3,"Zomato, Deliveroo, DoorDash",53,992,1,"Customer complaints, Navigation issues, Fatigue",Sometimes,1,"Safety practices, Route optimization",Audio,Weekends,"Skill-building, Peer competition",3,Rarely,Yes,Yes,No,8,5,"Better income, Faster delivery"
35,Male,No schooling,5,"Uber Eats, Zomato, DoorDash",41,1685,2,Customer complaints,Rarely,4,"Customer service, Route optimization, Safety practices, Fitness and health",In-person,Weekends,"Better income, Peer competition",5,Never,No,Yes,No,8,20,Health & safety
38,Female,College,1,Zomato,49,1676,2,"Customer complaints, Navigation issues, Low pay",Sometimes,4,Communication skills,In-person,Weekends,"Better income, Career growth, Certification",4,Always,Yes,No,Yes,8,17,Fewer complaints
37,Male,Graduate Degree,6,Deliveroo,51,2113,1,"Low pay, Unsafe conditions",Often,5,Fitness and health,In-person,Evenings,"Skill-building, Peer competition",2,Often,Yes,Yes,Yes,7,20,"Fewer complaints, Social recognition"
23,Male,College,4,"Uber Eats, Deliveroo, Zomato",49,1823,3,Navigation issues,Rarely,5,Safety practices,Interactive app,Mornings,Skill-building,1,Always,Yes,Yes,Yes,6,5,"Better income, Social recognition"
28,Female,College,5,"Uber Eats, Other",37,2112,3,"Low pay, Fatigue, Navigation issues",Always,5,"Customer service, Route optimization",In-person,Mornings,Peer competition,5,Often,Yes,No,No,7,23,"Better income, Health & safety"
33,Male,College,2,"Zomato, DoorDash",46,2152,1,Unsafe conditions,Often,1,Route optimization,In-person,Flexible,"Better income, Peer competition",4,Often,No,Yes,Yes,9,16,Faster delivery
38,Female,High School,5,DoorDash,49,2877,3,Unsafe conditions,Rarely,2,"Customer service, Communication skills, Route optimization, Fitness and health",Interactive app,Flexible,Peer competition,2,Often,Yes,Yes,No,10,25,"Better income, Health & safety"
26,Female,Graduate Degree,1,"Uber Eats, Other, Talabat",45,1642,2,Navigation issues,Often,4,"Fitness and health, Safety practices, Communication skills, Route optimization",Reading materials,Evenings,Better income,5,Sometimes,Yes,Yes,Yes,6,11,Faster delivery
29,Male,High School,5,Deliveroo,24,1329,1,"Customer complaints, Unsafe conditions, Low pay",Sometimes,3,"Fitness and health, Communication skills",Videos,Mornings,"Career growth, Peer competition, Skill-building",5,Always,Yes,No,Yes,7,22,Better income
21,Male,College,3,DoorDash,47,1923,1,"Fatigue, Unsafe conditions",Sometimes,4,Customer service,Interactive app,Weekends,"Better income, Peer competition",2,Sometimes,Yes,No,Yes,6,19,"Faster delivery, Better income"
20,Male,High School,4,"Talabat, Deliveroo, DoorDash",67,8269,2,"Customer complaints, Unsafe conditions, Low pay",Often,2,"Fitness and health, Route optimization",Interactive app,Weekends,"Peer competition, Skill-building, Career growth",4,Often,Yes,No,Yes,8,30,"Better income, Social recognition"
37,Female,No schooling,1,"Deliveroo, Other",41,2541,2,"Unsafe conditions, Fatigue, Customer complaints",Always,2,Fitness and health,In-person,Flexible,"Certification, Career growth, Skill-building",3,Often,Yes,No,Yes,9,14,"Health & safety, Social recognition"
41,Male,High School,1,"DoorDash, Deliveroo",38,1658,1,"Customer complaints, Unsafe conditions, Low pay",Rarely,3,"Safety practices, Communication skills",In-person,Mornings,"Career growth, Better income, Certification",3,Rarely,Yes,No,Yes,7,9,"Faster delivery, Better income"
29,Female,High School,4,"Other, DoorDash, Zomato",49,1517,2,"Fatigue, Unsafe conditions, Customer complaints",Sometimes,1,"Customer service, Communication skills, Safety practices",Videos,Flexible,Certification,2,Rarely,Yes,Yes,No,3,10,"Health & safety, Social recognition"
38,Female,High School,1,"Other, Zomato",48,1564,2,"Low pay, Unsafe conditions, Navigation issues",Sometimes,4,"Customer service, Route optimization",In-person,Flexible,"Skill-building, Peer competition, Career growth",3,Always,Yes,No,Yes,9,4,"Faster delivery, Fewer complaints"
33,Female,College,4,"Deliveroo, Talabat",57,2159,2,Navigation issues,Sometimes,5,"Route optimization, Safety practices",Audio,Weekends,"Better income, Certification",5,Always,No,Yes,Yes,7,10,"Social recognition, Better income"
25,Male,No schooling,0,DoorDash,32,1721,1,"Fatigue, Customer complaints",Sometimes,1,"Route optimization, Safety practices",In-person,Weekends,Certification,5,Always,No,Yes,Yes,6,0,"Health & safety, Faster delivery"
33,Female,High School,5,Uber Eats,52,1479,3,Navigation issues,Never,5,Route optimization,In-person,Mornings,"Peer competition, Better income",3,Sometimes,Yes,Yes,Yes,6,29,Faster delivery
42,Female,College,1,"Uber Eats, Deliveroo",51,2633,1,"Customer complaints, Navigation issues, Unsafe conditions",Sometimes,4,Communication skills,Audio,Flexible,Peer competition,1,Sometimes,No,Yes,Yes,8,34,Faster delivery
30,Male,High School,4,"DoorDash, Deliveroo, Other",44,1372,1,"Unsafe conditions, Customer complaints",Sometimes,3,Customer service,Videos,Evenings,"Career growth, Skill-building",5,Sometimes,No,No,Yes,6,14,Better income
43,Male,College,4,Uber Eats,48,1818,1,"Low pay, Navigation issues, Fatigue",Rarely,1,"Safety practices, Customer service, Fitness and health",Audio,Mornings,Peer competition,2,Often,Yes,Yes,Yes,6,19,Health & safety
9,Non-binary,College,2,"Other, Uber Eats, DoorDash",55,2126,1,"Unsafe conditions, Fatigue",Often,4,"Communication skills, Customer service",Interactive app,Flexible,Career growth,3,Always,No,Yes,Yes,5,17,"Social recognition, Better income"
37,Male,College,4,Uber Eats,54,984,3,"Navigation issues, Low pay, Unsafe conditions",Often,5,"Customer service, Safety practices, Communication skills",Audio,Mornings,"Certification, Peer competition, Skill-building",2,Always,Yes,Yes,Maybe,6,2,Faster delivery
31,Female,College,4,"Uber Eats, Deliveroo",34,2040,1,Navigation issues,Sometimes,4,"Communication skills, Route optimization",Reading materials,Mornings,"Peer competition, Better income, Certification",4,Always,No,No,Yes,8,25,"Faster delivery, Fewer complaints"
28,Male,High School,2,Zomato,53,1272,2,Fatigue,Rarely,2,"Safety practices, Route optimization",Interactive app,Mornings,"Peer competition, Certification",3,Often,Yes,Yes,Yes,4,27,"Health & safety, Fewer complaints"
31,Male,College,1,"Talabat, DoorDash, Deliveroo",44,2211,1,"Low pay, Fatigue",Sometimes,2,"Fitness and health, Safety practices, Route optimization",In-person,Evenings,"Certification, Peer competition, Skill-building",1,Often,Yes,Yes,Yes,9,5,Fewer complaints
14,Female,High School,1,"Deliveroo, Other, Talabat",46,1319,1,"Fatigue, Customer complaints",Rarely,4,"Communication skills, Route optimization",Interactive app,Evenings,"Career growth, Peer competition",1,Always,Yes,Yes,Yes,5,18,"Fewer complaints, Faster delivery"
28,Male,High School,4,Talabat,46,2146,3,"Unsafe conditions, Fatigue",Rarely,5,Customer service,Videos,Weekends,Career growth,5,Often,No,Yes,Maybe,7,12,Health & safety
33,Male,College,0,"DoorDash, Uber Eats",43,2353,2,"Customer complaints, Unsafe conditions, Low pay",Often,2,"Customer service, Communication skills, Safety practices",Videos,Weekends,"Career growth, Better income, Skill-building",2,Often,No,Yes,Yes,8,27,Faster delivery
42,Male,High School,3,Other,57,2231,1,"Unsafe conditions, Fatigue",Never,4,"Fitness and health, Route optimization",Audio,Flexible,"Peer competition, Skill-building",4,Always,Yes,Yes,Yes,9,14,Better income
26,Male,College,2,"Zomato, Talabat",44,1926,2,"Fatigue, Customer complaints, Unsafe conditions",Never,4,"Route optimization, Communication skills",Interactive app,Mornings,"Career growth, Skill-building",2,Always,Yes,No,No,9,14,Better income
24,Male,College,4,"Talabat, Uber Eats",34,1684,1,Fatigue,Never,5,"Safety practices, Communication skills, Route optimization, Fitness and health",In-person,Flexible,"Skill-building, Better income, Certification",4,Always,Yes,Yes,Yes,7,33,Faster delivery
26,Male,College,2,"Other, Uber Eats, Deliveroo",41,1512,1,"Customer complaints, Low pay",Rarely,2,Fitness and health,Videos,Weekends,Better income,5,Often,Yes,Yes,Maybe,7,2,"Fewer complaints, Better income"
37,Non-binary,Graduate Degree,2,"Other, Zomato",47,2536,2,"Low pay, Customer complaints",Never,5,"Communication skills, Safety practices, Customer service",In-person,Evenings,"Career growth, Skill-building, Better income",3,Often,Yes,Yes,Maybe,8,17,"Health & safety, Fewer complaints"
33,Male,High School,4,DoorDash,57,1450,2,Fatigue,Always,5,"Customer service, Safety practices, Route optimization",Reading materials,Weekends,"Career growth, Skill-building, Better income",3,Sometimes,Yes,Yes,Yes,8,16,Social recognition
26,Female,High School,4,DoorDash,51,1281,1,"Unsafe conditions, Customer complaints",Rarely,5,Route optimization,Videos,Flexible,"Better income, Career growth",5,Always,No,Yes,Yes,6,9,"Health & safety, Faster delivery"
34,Male,College,4,"Talabat, DoorDash, Other",36,2133,3,"Customer complaints, Unsafe conditions",Rarely,2,"Communication skills, Route optimization",Audio,Weekends,Peer competition,4,Sometimes,No,Yes,Yes,8,35,"Social recognition, Fewer complaints"
31,Female,High School,4,Zomato,70,1402,2,"Customer complaints, Unsafe conditions, Low pay",Rarely,2,"Customer service, Route optimization, Safety practices, Fitness and health",Reading materials,Flexible,Better income,5,Always,Yes,Yes,Yes,7,18,"Better income, Fewer complaints"
38,Male,College,0,"DoorDash, Uber Eats",48,1325,1,Unsafe conditions,Always,1,"Customer service, Fitness and health, Communication skills, Route optimization",Interactive app,Flexible,"Skill-building, Peer competition, Career growth",1,Always,Yes,No,Yes,6,22,"Fewer complaints, Faster delivery"
24,Non-binary,College,5,"Deliveroo, Uber Eats",58,1078,2,Fatigue,Sometimes,3,"Communication skills, Route optimization, Customer service",In-person,Flexible,Peer competition,3,Always,No,Yes,Yes,6,23,"Fewer complaints, Health & safety"
27,Male,College,4,Other,43,1559,2,"Low pay, Navigation issues",Sometimes,4,"Route optimization, Communication skills",Videos,Flexible,"Career growth, Certification",1,Sometimes,No,Yes,Maybe,8,12,"Better income, Fewer complaints"
27,Male,High School,1,"Uber Eats, Other, DoorDash",50,1759,2,Unsafe conditions,Often,3,"Communication skills, Safety practices, Route optimization, Fitness and health",Reading materials,Weekends,"Skill-building, Peer competition, Better income",3,Rarely,No,Yes,Yes,5,27,"Better income, Fewer complaints"
18,Male,High School,3,Talabat,53,1922,1,"Fatigue, Customer complaints",Sometimes,5,"Customer service, Safety practices, Route optimization, Communication skills",Reading materials,Flexible,"Better income, Skill-building, Peer competition",1,Always,No,Yes,No,9,25,"Better income, Faster delivery"
32,Male,High School,3,"Talabat, DoorDash",57,2276,2,"Customer complaints, Low pay, Navigation issues",Sometimes,1,"Communication skills, Safety practices",Videos,Flexible,"Skill-building, Career growth, Certification",2,Always,No,Yes,No,6,14,Faster delivery
32,Male,High School,3,"Uber Eats, DoorDash",56,2063,1,Navigation issues,Rarely,1,"Safety practices, Fitness and health",Interactive app,Mornings,Peer competition,4,Always,Yes,Yes,Maybe,2,24,"Better income, Social recognition"
30,Male,College,4,"Uber Eats, Talabat",54,1705,3,"Navigation issues, Low pay, Unsafe conditions",Sometimes,4,"Safety practices, Communication skills",Interactive app,Flexible,"Peer competition, Better income, Skill-building",4,Often,Yes,No,Yes,8,27,"Faster delivery, Fewer complaints"
28,Female,High School,6,"Talabat, Zomato",42,1701,2,"Unsafe conditions, Fatigue",Sometimes,4,"Fitness and health, Communication skills, Safety practices",Audio,Weekends,"Certification, Skill-building, Peer competition",3,Always,No,Yes,Yes,2,23,"Health & safety, Social recognition"
19,Male,High School,5,"Other, Deliveroo",39,2055,1,"Low pay, Fatigue",Sometimes,3,"Route optimization, Customer service",Interactive app,Flexible,"Peer competition, Career growth, Certification",3,Always,Yes,Yes,No,5,7,Social recognition
27,Male,No schooling,0,"Other, Talabat, DoorDash",48,2436,2,"Low pay, Customer complaints",Rarely,3,"Communication skills, Route optimization, Customer service",Audio,Evenings,Skill-building,1,Often,Yes,No,Maybe,10,14,Health & safety
27,Female,College,4,Zomato,54,1863,3,"Navigation issues, Low pay",Sometimes,2,"Safety practices, Communication skills, Customer service, Route optimization",Reading materials,Evenings,"Career growth, Certification",2,Always,Yes,Yes,Maybe,9,20,Faster delivery
24,Female,College,6,Uber Eats,43,1565,3,"Low pay, Fatigue",Never,3,"Customer service, Communication skills, Fitness and health",Videos,Flexible,Certification,3,Always,No,No,No,9,18,Better income
29,Male,High School,4,"Other, Deliveroo, Uber Eats",56,1304,1,Unsafe conditions,Rarely,3,"Customer service, Communication skills",Interactive app,Evenings,Certification,3,Often,No,Yes,Yes,5,8,Fewer complaints
33,Male,High School,5,"Zomato, Uber Eats, Deliveroo",60,1077,1,"Navigation issues, Customer complaints, Low pay",Sometimes,5,Safety practices,Audio,Evenings,"Career growth, Certification",2,Sometimes,Yes,Yes,Yes,7,12,Social recognition
45,Male,High School,7,"Talabat, Deliveroo, DoorDash",36,2133,2,"Fatigue, Unsafe conditions, Low pay",Always,1,"Communication skills, Safety practices, Customer service, Fitness and health",Reading materials,Weekends,Certification,4,Always,Yes,Yes,Yes,9,19,Social recognition
31,Female,High School,5,Deliveroo,37,2089,1,Unsafe conditions,Sometimes,3,Safety practices,Interactive app,Mornings,Certification,5,Sometimes,No,No,No,8,0,"Social recognition, Faster delivery"
32,Female,College,3,DoorDash,44,2089,3,"Unsafe conditions, Navigation issues",Sometimes,2,"Communication skills, Fitness and health",In-person,Evenings,Career growth,2,Always,Yes,No,Yes,9,15,Fewer complaints
29,Male,College,5,Deliveroo,48,1736,1,"Unsafe conditions, Fatigue, Customer complaints",Rarely,3,"Customer service, Communication skills, Fitness and health, Route optimization",Reading materials,Evenings,Peer competition,1,Always,Yes,Yes,No,10,22,Better income
15,Female,High School,3,Other,40,2503,1,"Navigation issues, Unsafe conditions, Customer complaints",Rarely,5,Safety practices,Interactive app,Mornings,"Career growth, Skill-building",4,Always,No,Yes,Maybe,8,18,Social recognition
30,Female,High School,3,Talabat,59,1558,1,"Unsafe conditions, Low pay",Never,4,Route optimization,Reading materials,Mornings,Skill-building,5,Always,Yes,Yes,No,5,6,Faster delivery
30,Male,Graduate Degree,2,Deliveroo,49,2278,1,Customer complaints,Sometimes,5,"Customer service, Route optimization, Communication skills, Fitness and health",Videos,Evenings,Career growth,4,Sometimes,Yes,Yes,Yes,8,8,"Faster delivery, Fewer complaints"
50,Female,High School,6,Deliveroo,45,1781,2,Navigation issues,Rarely,2,"Route optimization, Safety practices, Communication skills, Customer service",Videos,Flexible,"Peer competition, Career growth",5,Often,No,Yes,Yes,7,30,Health & safety
28,Male,College,1,"Uber Eats, Deliveroo, Other",31,1496,1,"Fatigue, Unsafe conditions, Low pay",Rarely,4,Customer service,Videos,Evenings,Career growth,5,Always,Yes,Yes,Maybe,4,6,"Health & safety, Social recognition"
32,Male,High School,6,"Other, Deliveroo",32,2096,1,Navigation issues,Often,1,Safety practices,In-person,Flexible,Certification,4,Sometimes,No,Yes,Yes,9,27,"Health & safety, Fewer complaints"
30,Male,High School,4,"Deliveroo, Zomato, Other",48,7397,1,Customer complaints,Never,2,"Communication skills, Fitness and health",Videos,Flexible,Certification,4,Always,Yes,Yes,Yes,9,9,Fewer complaints
21,Male,No schooling,0,Other,24,1978,2,"Fatigue, Navigation issues",Sometimes,2,"Communication skills, Route optimization, Safety practices",In-person,Flexible,"Certification, Better income, Skill-building",4,Always,Yes,Yes,Yes,7,26,Better income
